التاريخ,نوع العملية,المبلغ,التفاصيل / الجهة / السبب,الباقي في المحفظة,طريقة الدفع,حالة الديون
2026-09-14 16:10:49,إيداع للمحفظة,11257000.0,مبلغ بعد  الجرد,11257000.0,كاش,لا توجد
2026-09-14 16:11:05,سحب كاش,100000.0,الفلاح,11157000.0,كاش,لا توجد
2026-09-14 16:16:18,سحب كاش,750000.0,البركه,10407000.0,كاش,لا توجد
2026-09-14 16:16:30,سحب كاش,350000.0,الغانمي,10057000.0,كاش,لا توجد
2026-09-14 16:20:23,سحب كاش,5000000.0,سدره,5057000.0,كاش,لا توجد
2026-09-14 16:22:32,استرجاع مبلغ للمحفظة,294000.0,منتضر,4763000.0,كاش,لا توجد
2026-09-14 16:41:50,إيداع للمحفظة,279023000.0,مصرف من بدايه الشهر لليوم,283786000.0,كاش,لا توجد
2026-09-14 16:41:56,سحب كاش,279023000.0,مبالغ ايداعات سابقه ,4763000.0,كاش,لا توجد
2026-09-14 19:57:00,إيداع للمحفظة,55850000.0,ايداع,60613000.0,كاش,لا توجد
2026-09-14 20:05:54,سحب كاش,2000000.0,افق,58613000.0,كاش,لا توجد
2026-09-14 20:06:21,سحب كاش,20000000.0,دره,38613000.0,كاش,لا توجد
2026-09-14 20:06:44,سحب كاش,20000000.0,قصر,18613000.0,كاش,لا توجد
2026-09-14 20:07:43,سحب كاش,5000000.0,سدره,13613000.0,كاش,لا توجد
2026-09-14 20:14:11,سحب كاش,10000000.0,الصراف,3613000.0,كاش,لا توجد
2026-09-15 12:54:07,سحب كاش,3925297.0,احمد علاء,-312297.0,كاش,لا توجد
2026-09-15 20:03:21.824718,استرجاع للمحفظة,75000.0,رجع  من اسيا بي  ابو روان,-237297.0,استرجاع,لا توجد
2026-09-15 20:03:54.439845,سحب كاش,300000.0,اكاسيا,-537297.0,كاش,مكتمل
2026-09-15 20:04:11.875668,استرجاع للمحفظة,525000.0,ماستر  شراء,-12297.0,استرجاع,لا توجد
2026-09-15 20:08:38.569465,سحب كاش,50000.0,الفلاح,-62297.0,مديونية (دين),غير مسدد (مديونية)
2026-09-15 20:11:49.119244,سحب كاش,100000.0,بركات الزهراء ,-162297.0,كاش,مكتمل
2026-09-15 20:14:08.675440,استرجاع للمحفظة,587297.0,راجع,425000.0,استرجاع,لا توجد
